Index;Entidad;Capital;Cap_pob;Index,Capital,Entidad,Población
1;Ciudad de México;Ciudad de México;8 851 080;1,Ciudad de México,Ciudad de México,8 851 080
2;Guadalajara;Jalisco;1 495 182;2,Guadalajara,Jalisco,1 495 182
3;Puebla de Zaragoza;Puebla;1 434 062;3,Puebla de Zaragoza,Puebla,1 434 062
4;Monterrey;Nuevo León;1 135 512;4,Monterrey,Nuevo León,1 135 512
5;Chihuahua;Chihuahua;809 232;5,Chihuahua,Chihuahua,809 232
6;Mérida;Yucatán;777 615;6,Mérida,Yucatán,777 615
7;San Luis Potosí;San Luis Potosí;722 772;7,San Luis Potosí,San Luis Potosí,722 772
8;Aguascalientes;Aguascalientes;722 250;8,Aguascalientes,Aguascalientes,722 250
9;Hermosillo;Sonora;715 061;9,Hermosillo,Sonora,715 061
10;Saltillo;Coahuila;709 671;10,Saltillo,Coahuila,709 671
11;Mexicali;Baja California;689 775;11,Mexicali,Baja California,689 775
12;Culiacán Rosales;Sinaloa;675 773;12,Culiacán Rosales,Sinaloa,675 773
13;Santiago de Querétaro;Querétaro;626 495;13,Santiago de Querétaro,Querétaro,626 495
14;Morelia;Michoacán;597 511;14,Morelia,Michoacán,597 511
15;Tuxtla Gutiérrez;Chiapas;537 102;15,Tuxtla Gutiérrez,Chiapas,537 102
16;Victoria de Durango;Durango;518 709;16,Victoria de Durango,Durango,518 709
17;Toluca de Lerdo;México;489 333;17,Toluca de Lerdo,México,489 333
18;Xalapa-Enríquez;Veracruz;424 755;18,Xalapa-Enríquez,Veracruz,424 755
19;Villahermosa;Tabasco;353 577;19,Villahermosa,Tabasco,353 577
20;Cuernavaca;Morelos;338 650;20,Cuernavaca,Morelos,338 650
21;Tepic;Nayarit;332 863;21,Tepic,Nayarit,332 863
22;Ciudad Victoria;Tamaulipas;305 155;22,Ciudad Victoria,Tamaulipas,305 155
23;Pachuca de Soto;Hidalgo;256 584;23,Pachuca de Soto,Hidalgo,256 584
24;Oaxaca de Juárez;Oaxaca;255 029;24,Oaxaca de Juárez,Oaxaca,255 029
25;San Francisco de Campeche;Campeche;220 389;25,San Francisco de Campeche,Campeche,220 389
26;La Paz;Baja California Sur;215 178;26,La Paz,Baja California Sur,215 178
27;Chilpancingo de los Bravo;Guerrero;187 251;27,Chilpancingo de los Bravo,Guerrero,187 251
28;Chetumal;Quintana Roo;151 243;28,Chetumal,Quintana Roo,151 243
29;Colima;Colima;137 383;29,Colima,Colima,137 383
30;Zacatecas;Zacatecas;129 011;30,Zacatecas,Zacatecas,129 011
31;Guanajuato;Guanajuato;72 237;31,Guanajuato,Guanajuato,72 237
32;Tlaxcala de Xicohténcatl;Tlaxcala;14 692;32,Tlaxcala de Xicohténcatl,Tlaxcala,14 692
