Tipo de delito,Cat_del
Aborto ,Delitos contra las personas
Allanamiento de morada,Delitos contra las personas
Amenazas,Delitos contra las personas
Feminicidio,Delitos contra las personas
Homicidio,Delitos contra las personas
Lesiones,Delitos contra las personas
Otros delitos del Fuero Común,Delitos contra las personas
Otros delitos que atentan contra la libertad personal,Delitos contra las personas
Otros delitos que atentan contra la vida y la integridad corporal,Delitos contra las personas
Secuestro,Delitos contra las personas
Trata de personas,Delitos contra las personas
Tráfico de menores,Delitos contra las personas
Violencia de género en todas sus modalidades distinta a la violencia familiar,Delitos contra las personas
Violencia familiar,Delitos contra las personas
Abuso de confianza,Delitos contra el patrimonio
Daño a la propiedad,Delitos contra el patrimonio
Despojo,Delitos contra el patrimonio
Extorsión,Delitos contra el patrimonio
Fraude,Delitos contra el patrimonio
Otros delitos contra el patrimonio,Delitos contra el patrimonio
Robo,Delitos contra el patrimonio
Abuso sexual,Delitos sexuales
Acoso sexual,Delitos sexuales
Corrupción de menores,Delitos sexuales
Hostigamiento sexual,Delitos sexuales
Incesto,Delitos sexuales
Otros delitos que atentan contra la libertad y la seguridad sexual,Delitos sexuales
Rapto,Delitos sexuales
Violación equiparada,Delitos sexuales
Violación simple,Delitos sexuales
Contra el medio ambiente,Delitos contra la sociedad
Incumplimiento de obligaciones de asistencia familiar,Delitos contra la sociedad
Narcomenudeo,Delitos contra la sociedad
Otros delitos contra la familia,Delitos contra la sociedad
Otros delitos contra la sociedad,Delitos contra la sociedad
Delitos cometidos por servidores públicos,Delitos contra las funciones del estado y el servicio público
Electorales,Delitos contra las funciones del estado y el servicio público
Evasión de presos,Delitos contra las funciones del estado y el servicio público
Falsedad,Delitos contra las funciones del estado y el servicio público
Falsificación,Delitos contra las funciones del estado y el servicio público
